feature,importance
q4_flights,0.2464007
is_recent_member,0.1982964
active_month_ratio,0.08735435
active_months,0.07712408
tenure_months,0.061801143
avg_flights_per_month,0.024467764
flight_consistency,0.02176681
points_balance,0.019166756
total_points_accumulated,0.018623298
total_distance,0.018295676
momentum_h2_minus_h1,0.018018605
dollar_cost_per_flight,0.017588047
redemption_rate,0.016841702
is_early_member,0.016161399
clv_log,0.016039215
salary,0.01587331
is_ontario,0.015241523
engagement_health_score,0.01513713
salary_missing,0.01464953
tier_numeric,0.014293292
is_married,0.014027105
education_numeric,0.013904903
is_bc,0.013594308
is_female,0.012927744
is_quebec,0.01240519
recency_months,0.0
is_promo_enrollment,0.0
