loyalty_number,loyalty_card,province,segment_name,risk_level,churn_probability,clv,revenue_at_risk,potential_save,recommended_action,specific_offer,channel,timing,incentive_cost_cad,avg_flights_per_month,recency_months,engagement_health_score,tenure_months
652627,Star,Manitoba,Seasonal Travelers,High,0.9963276,83325.38,68075.89,18380.49,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,24
844145,Nova,Ontario,Premium Dormant,High,0.989305,74228.52,60216.41,16258.43,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,27
838263,Aurora,Nova Scotia,Premium Dormant,High,0.9979067,67907.27,55567.4,15003.2,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,65
767366,Aurora,Quebec,Premium Dormant,High,0.82927114,73225.96,49793.82,13444.33,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.6666666666666666,0.0,27.3,9
672917,Star,Ontario,Seasonal Travelers,High,0.9960741,58166.55,47509.32,12827.52,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,35
615459,Star,Quebec,Seasonal Travelers,Medium,0.67440355,83325.38,46079.84,12441.56,Seasonal Re-Engagement,"Upcoming season preview + 2,000 bonus miles",Email,Within 14 days,20,0.0,0.0,0.0,0
737027,Nova,British Columbia,Premium Dormant,High,0.9985073,49221.43,40301.33,10881.36,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,68
529331,Aurora,Ontario,Premium Dormant,High,0.998256,49221.43,40291.18,10878.62,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,55
943393,Nova,British Columbia,Premium Dormant,High,0.9970688,48356.96,39536.48,10674.85,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,41
795743,Star,Ontario,Seasonal Travelers,High,0.99473614,43019.01,35089.9,9474.27,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,49
515790,Nova,New Brunswick,Premium Dormant,High,0.9945891,42389.01,34570.91,9334.15,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,27
248497,Aurora,British Columbia,Premium Dormant,High,0.9979613,41143.09,33668.55,9090.51,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,51
767971,Aurora,Quebec,Premium Dormant,High,0.99419075,40636.67,33128.49,8944.69,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,61
148810,Nova,Ontario,Premium Dormant,High,0.99753904,40224.01,32902.52,8883.68,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,66
969719,Star,British Columbia,Seasonal Travelers,High,0.9866057,40235.97,32551.57,8788.92,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.08333333333333333,0.0,6.0,19
675419,Aurora,Ontario,Premium Dormant,High,0.99436176,39400.19,32125.99,8674.02,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,53
851979,Star,Ontario,Seasonal Travelers,High,0.99593157,39033.08,31876.91,8606.77,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,61
302827,Aurora,Quebec,Premium Dormant,High,0.9975903,38230.21,31273.23,8443.77,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,61
294289,Nova,British Columbia,Premium Dormant,High,0.9955651,36897.8,30122.01,8132.94,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,61
243272,Nova,Ontario,Premium Dormant,High,0.99708563,36632.53,29951.13,8086.81,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,35
258296,Aurora,Quebec,Active Champions,High,0.80696815,44856.11,29681.91,8014.12,Loyalty Lock-In,"6,000 bonus miles + priority check-in for 6 months",Email + App push,Within 3 days,70,1.5833333333333333,0.0,32.5,62
231080,Nova,Quebec,Premium Dormant,High,0.9810415,36860.73,29652.76,8006.25,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.5,0.0,14.2,15
967819,Nova,Quebec,Premium Dormant,High,0.9923309,36293.15,29532.15,7973.68,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,67
328602,Nova,Ontario,Premium Dormant,High,0.9921787,36229.41,29475.76,7958.46,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,51
688132,Aurora,British Columbia,Premium Dormant,High,0.99684864,33473.35,27361.65,7387.65,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,63
959179,Star,Alberta,Seasonal Travelers,High,0.9965449,33473.35,27353.31,7385.39,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,48
224178,Aurora,Ontario,Premium Dormant,High,0.99899536,32777.3,26850.38,7249.6,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,61
667800,Nova,Ontario,Premium Dormant,High,0.998558,32654.84,26738.36,7219.36,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,55
961440,Aurora,Ontario,Premium Dormant,High,0.99892646,32613.69,26714.52,7212.92,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,58
483274,Aurora,Ontario,Premium Dormant,High,0.9982626,32227.08,26380.29,7122.68,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,35
784597,Star,Quebec,Seasonal Travelers,High,0.9956255,32098.32,26205.48,7075.48,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,36
323341,Star,British Columbia,Seasonal Travelers,High,0.99673694,31934.62,26100.94,7047.25,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,29
935665,Star,Ontario,Seasonal Travelers,High,0.998697,31221.75,25568.48,6903.49,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,65
552776,Star,Manitoba,Seasonal Travelers,High,0.8961084,34611.38,25432.75,6866.84,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.5,0.0,3.3,18
857219,Nova,Ontario,Premium Dormant,High,0.98956186,30909.22,25081.0,6771.87,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.5,0.0,13.3,18
781293,Nova,Ontario,Premium Dormant,High,0.97544336,30763.26,24606.41,6643.73,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.4166666666666667,0.0,13.3,11
167491,Aurora,Quebec,Premium Dormant,High,0.9990289,29874.74,24473.5,6607.84,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,59
671764,Nova,Quebec,Premium Dormant,High,0.8322679,35850.6,24466.59,6605.98,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,10.0,0
562510,Aurora,British Columbia,Premium Dormant,High,0.9295794,31920.77,24331.77,6569.58,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,1.0,0.0,25.0,11
656958,Star,British Columbia,Seasonal Travelers,High,0.9981359,29412.29,24073.12,6499.74,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,50
484939,Star,British Columbia,Seasonal Travelers,High,0.99283445,29232.69,23799.04,6425.74,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,29
577998,Nova,Ontario,Premium Dormant,High,0.99538815,29091.24,23744.8,6411.1,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,38
960959,Aurora,Quebec,Premium Dormant,High,0.9969439,28824.06,23563.5,6362.14,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,25
467139,Nova,Ontario,Premium Dormant,High,0.99693054,28699.89,23461.67,6334.65,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,35
756280,Nova,British Columbia,Premium Dormant,High,0.9975139,28435.64,23259.26,6280.0,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,42
804911,Nova,British Columbia,Premium Dormant,High,0.9979596,28421.57,23258.13,6279.7,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,60
813352,Aurora,British Columbia,Premium Dormant,High,0.9980368,28393.33,23236.82,6273.94,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,44
662489,Star,British Columbia,Seasonal Travelers,High,0.9725212,29037.48,23156.44,6252.24,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.3333333333333333,0.0,3.3,16
902200,Star,Ontario,Seasonal Travelers,High,0.997879,28119.29,23008.91,6212.41,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,52
749430,Aurora,Manitoba,Premium Dormant,Medium,0.6698142,41787.9,22951.91,6197.02,Engagement Campaign,"3,000 bonus miles on next flight",Email,Within 7 days,30,1.0,0.0,27.2,23
